# Agricultural chemicals: name | use
glyphosate | Broad-spectrum herbicide
glufosinate | Broad-spectrum herbicide
atrazine | Triazine herbicide
simazine | Triazine herbicide
terbuthylazine | Triazine herbicide
paraquat | Bipyridinium herbicide (highly toxic)
diquat | Bipyridinium herbicide
2,4-d | Phenoxy herbicide
mcpa | Phenoxy herbicide
mecoprop | Phenoxy herbicide
2,4,5-t | Phenoxy herbicide (banned in most countries)
dicamba | Benzoic acid herbicide
clopyralid | Pyridine herbicide
picloram | Pyridine herbicide
triclopyr | Pyridine herbicide
fluroxypyr | Pyridine herbicide
metolachlor | Chloroacetanilide herbicide
alachlor | Chloroacetanilide herbicide
acetochlor | Chloroacetanilide herbicide
butachlor | Chloroacetanilide herbicide
propanil | Anilide herbicide
trifluralin | Dinitroaniline herbicide
pendimethalin | Dinitroaniline herbicide
diuron | Urea herbicide
linuron | Urea herbicide
isoproturon | Urea herbicide
chlorotoluron | Urea herbicide
bromoxynil | Nitrile herbicide
ioxynil | Nitrile herbicide
bentazone | Herbicide
metribuzin | Triazinone herbicide
chlorsulfuron | Sulfonylurea herbicide
metsulfuron-methyl | Sulfonylurea herbicide
imazapyr | Imidazolinone herbicide
imazethapyr | Imidazolinone herbicide
oxyfluorfen | Diphenyl ether herbicide
fluazifop-butyl | Aryloxyphenoxypropionate herbicide
sethoxydim | Cyclohexanedione herbicide
clethodim | Cyclohexanedione herbicide
dalapon | Herbicide
amitrole | Herbicide
sodium chlorate | Non-selective herbicide, oxidizer
chlorpyrifos | Organophosphate insecticide
malathion | Organophosphate insecticide
parathion | Organophosphate insecticide (highly toxic)
methyl parathion | Organophosphate insecticide (highly toxic)
diazinon | Organophosphate insecticide
dichlorvos | Organophosphate insecticide
dimethoate | Organophosphate insecticide
fenitrothion | Organophosphate insecticide
fenthion | Organophosphate insecticide
phorate | Organophosphate insecticide (highly toxic)
terbufos | Organophosphate insecticide (highly toxic)
disulfoton | Organophosphate insecticide (highly toxic)
methamidophos | Organophosphate insecticide (highly toxic)
acephate | Organophosphate insecticide
monocrotophos | Organophosphate insecticide (highly toxic)
azinphos-methyl | Organophosphate insecticide
phosmet | Organophosphate insecticide
profenofos | Organophosphate insecticide
ethion | Organophosphate insecticide
carbaryl | Carbamate insecticide
carbofuran | Carbamate insecticide (highly toxic)
aldicarb | Carbamate insecticide (highly toxic)
methomyl | Carbamate insecticide
oxamyl | Carbamate insecticide
propoxur | Carbamate insecticide
pirimicarb | Carbamate insecticide
ddt | Organochlorine insecticide (banned, persistent)
dieldrin | Organochlorine insecticide (banned, persistent)
aldrin | Organochlorine insecticide (banned, persistent)
endrin | Organochlorine insecticide (banned, persistent)
chlordane | Organochlorine insecticide (banned, persistent)
heptachlor | Organochlorine insecticide (banned, persistent)
lindane | Organochlorine insecticide
endosulfan | Organochlorine insecticide (banned, persistent)
toxaphene | Organochlorine insecticide (banned, persistent)
mirex | Organochlorine insecticide (banned, persistent)
