# Food additives, flavors, nutrients: name | use (E number where applicable)
citric acid | Acidulant (E330)
malic acid | Acidulant (E296)
tartaric acid | Acidulant (E334)
lactic acid | Acidulant (E270)
acetic acid | Acidulant, vinegar (E260)
fumaric acid | Acidulant (E297)
phosphoric acid | Acidulant in colas (E338)
succinic acid | Acidity regulator (E363)
adipic acid | Acidulant (E355)
glucono delta-lactone | Acidifier, coagulant (E575)
sodium citrate | Acidity regulator (E331)
potassium citrate | Acidity regulator (E332)
calcium citrate | Calcium fortificant (E333)
sodium acetate | Preservative, acidity regulator (E262)
sodium bicarbonate | Leavening agent (E500)
ammonium bicarbonate | Leavening agent (E503)
sodium aluminium phosphate | Leavening acid (E541)
sodium acid pyrophosphate | Leavening acid (E450)
monocalcium phosphate | Leavening acid (E341)
potassium bitartrate | Cream of tartar (E336)
sodium chloride | Table salt
potassium iodate | Salt iodization
sodium benzoate | Preservative (E211)
benzoic acid | Preservative (E210)
potassium sorbate | Preservative (E202)
sorbic acid | Preservative (E200)
calcium propionate | Preservative (E282)
propionic acid | Preservative (E280)
sodium nitrite | Curing salt preservative (E250)
potassium nitrite | Curing salt preservative (E249)
sodium metabisulfite | Preservative, antioxidant (E223)
potassium metabisulfite | Preservative in wine (E224)
sodium sulfite | Preservative (E221)
sulfur dioxide | Preservative (E220)
methylparaben | Preservative (E218)
ethylparaben | Preservative (E214)
natamycin | Antifungal preservative (E235)
nisin | Antibacterial preservative (E234)
hexamethylenetetramine | Preservative (E239)
dimethyl dicarbonate | Beverage preservative (E242)
ascorbic acid | Antioxidant, vitamin C (E300)
sodium ascorbate | Antioxidant (E301)
erythorbic acid | Antioxidant (E315)
ascorbyl palmitate | Antioxidant (E304)
alpha-tocopherol | Antioxidant, vitamin E (E307)
butylated hydroxyanisole | Antioxidant BHA (E320)
butylated hydroxytoluene | Antioxidant BHT (E321)
tert-butylhydroquinone | Antioxidant TBHQ (E319)
propyl gallate | Antioxidant (E310)
ethoxyquin | Antioxidant (feed)
edta | Sequestrant
calcium disodium edta | Sequestrant (E385)
sucrose | Sugar
glucose | Sugar (dextrose)
fructose | Sugar
lactose | Milk sugar
maltose | Malt sugar
trehalose | Sugar, stabilizer
isomaltulose | Low-glycemic sugar
sorbitol | Sugar alcohol sweetener (E420)
mannitol | Sugar alcohol sweetener (E421)
xylitol | Sugar alcohol sweetener (E967)
erythritol | Sugar alcohol sweetener (E968)
maltitol | Sugar alcohol sweetener (E965)
isomalt | Sugar alcohol sweetener (E953)
lactitol | Sugar alcohol sweetener (E966)
glycerol | Humectant (E422)
propylene glycol | Humectant, carrier (E1520)
saccharin | Artificial sweetener (E954)
aspartame | Artificial sweetener (E951)
acesulfame potassium | Artificial sweetener (E950)
sucralose | Artificial sweetener (E955)
sodium cyclamate | Artificial sweetener (E952)
neotame | Artificial sweetener (E961)
advantame | Artificial sweetener (E969)
stevioside | Natural high-intensity sweetener (E960)
rebaudioside a | Natural high-intensity sweetener (E960)
glycyrrhizin | Licorice sweetener (E958)
thaumatin | Sweet protein (E957)
neohesperidin dihydrochalcone | Sweetener (E959)
