# Toxic and hazardous chemicals: name | hazard profile | note
# Identification, properties and safety only. Profiles map to handling guidance in build-compounds.py.
hydrogen cyanide | cyanide | Rapidly fatal by inhalation; blocks cellular respiration (cytochrome c oxidase)
sodium cyanide | cyanide | Fatal if swallowed or on contact with acids (releases HCN)
potassium cyanide | cyanide | Fatal if swallowed or on contact with acids (releases HCN)
cyanogen chloride | cyanide | Toxic gas; CWC Schedule 3
acetone cyanohydrin | cyanide | Decomposes to HCN
acrylonitrile | cyanide | Metabolized to cyanide; probable carcinogen
phosgene | toxic-gas | Delayed pulmonary edema; CWC Schedule 3
chlorine | toxic-gas | Severe respiratory irritant; used as a WWI weapon
hydrogen sulfide | toxic-gas | Olfactory fatigue masks lethal concentrations
carbon monoxide | toxic-gas | Binds hemoglobin; odorless asphyxiant
nitrogen dioxide | toxic-gas | Delayed pulmonary edema
sulfur dioxide | toxic-gas | Severe respiratory irritant
ammonia | toxic-gas | Corrosive to airways and eyes
arsine | toxic-gas | Causes massive hemolysis
phosphine | toxic-gas | Highly toxic fumigant gas
stibine | toxic-gas | Hemolytic toxic gas
diborane | toxic-gas | Pyrophoric, highly toxic gas
germane | toxic-gas | Toxic flammable gas
silane | pyrophoric | Ignites spontaneously in air
fluorine | toxic-gas | Extremely reactive, corrosive oxidizing gas
hydrogen fluoride | corrosive | Penetrates skin; systemic fluoride toxicity (calcium depletion)
hydrogen chloride | corrosive | Corrosive gas/acid
hydrogen bromide | corrosive | Corrosive gas/acid
chlorine trifluoride | oxidizer | Violently reactive oxidizer; ignites most materials
ozone | toxic-gas | Strong oxidizer, respiratory toxicant
methyl isocyanate | toxic-gas | Bhopal disaster (1984) chemical
formaldehyde | carcinogen | IARC Group 1 carcinogen, sensitizer
acrolein | toxic-gas | Severe irritant, highly toxic by inhalation
ethylene oxide | carcinogen | Flammable toxic gas, IARC Group 1 carcinogen
methyl bromide | toxic-gas | Neurotoxic fumigant
chloropicrin | toxic-gas | Lachrymator, pulmonary agent; CWC Schedule 3
sarin | nerve-agent | Organophosphorus nerve agent; CWC Schedule 1 (prohibited)
soman | nerve-agent | Organophosphorus nerve agent; CWC Schedule 1 (prohibited)
